X,Y,objectid,oa11cd,lad11cd,st_areasha,st_lengths
-4.03581175360973,50.3923903877962,74054,E00076380,E06000026,49288.025493,1053.65477145205
-4.05684491116094,50.3901281965824,74055,E00076381,E06000026,119144.29812,2122.78702115534
-4.04793187285292,50.3910127443655,74056,E00076382,E06000026,47628.694333,956.441123898556
-4.06790848242635,50.3906876870313,74057,E00076383,E06000026,52148.3440905,1083.19114367947
-4.05180854016613,50.3905251689959,74058,E00076384,E06000026,89404.8959,1356.89175399646
-4.06233961162004,50.3906649839411,74059,E00076385,E06000026,86986.92344,1666.70556165088
-4.05028210835176,50.3886115332586,74060,E00076386,E06000026,124340.35139,2005.89655708729
-4.04505074019645,50.3880827248344,74061,E00076387,E06000026,92361.075934,1517.17771995978
-4.05022468149232,50.3987821571368,74062,E00076388,E06000026,94064.6328175,1951.24265950357
-4.04478265814159,50.3997464425107,74063,E00076389,E06000026,263149.2505535,2384.4303860563
-4.07898672670048,50.4024526965637,74064,E00076390,E06000026,1389170.3012795,5320.18229496088
-4.05465559009347,50.3999590638812,74065,E00076391,E06000026,239728.6414735,3057.17470105698
-4.04811492862996,50.3952034700538,74066,E00076392,E06000026,195594.0966985,3097.01856103258
-4.06909060746186,50.3957863258319,74067,E00076393,E06000026,50212.6575965,1621.779593051
-4.06365306441626,50.3942557951831,74068,E00076394,E06000026,122682.536038,2023.4177669771
-4.04364315005058,50.3938663403809,74069,E00076395,E06000026,280518.45071,2444.91621687531
-4.06318137863652,50.3995578992166,74070,E00076396,E06000026,322428.58165,2997.57525210029
-4.07733577707716,50.3949135546306,74071,E00076397,E06000026,45856.3071945,986.68894298458
-4.03232705420756,50.395160253239,74072,E00076398,E06000026,74924.6553985,2347.56588365334
-4.03176495064286,50.3964048159448,74073,E00076399,E06000026,29214.7454095,826.098438316259
-4.05868746723996,50.3961918571125,74074,E00076400,E06000026,44298.7996405,924.067018045018
-4.07632727541556,50.3959533976924,74075,E00076401,E06000026,45161.751246,1336.37413859963
-4.0624484402188,50.3968116833458,74076,E00076402,E06000026,57356.8736425,1263.89501665502
-4.05200347133774,50.3961180229652,74077,E00076403,E06000026,59138.7233135,1653.87855533206
-4.05557129028285,50.3963453225662,74078,E00076404,E06000026,44284.16616,1098.8623927508
-4.07262973120333,50.3954076981954,74079,E00076405,E06000026,45428.25979,1329.37403661802
-4.06024207826682,50.3945496919567,74080,E00076406,E06000026,54126.51251,1498.46586033524
-4.0565108268995,50.3945820750727,74081,E00076407,E06000026,64028.2910035,1960.51253302934
-4.07525098092403,50.3526063179541,74082,E00076408,E06000026,56048.6881245,1280.31073917412
-4.08134655158778,50.351189149901,74083,E00076409,E06000026,43349.14148,1303.5224419386
-4.08634299125327,50.3473836586429,74084,E00076410,E06000026,60847.2111785,1683.14272928297
-4.08205781088996,50.3648243130144,74085,E00076411,E06000026,98191.97326,2074.87372988691
-4.07032758186365,50.3581283942182,74086,E00076412,E06000026,69115.8375455,1756.82038521054
-4.05736992496365,50.35873509196,74087,E00076413,E06000026,273217.5935335,3929.65641992803
-4.07685275638972,50.3616792364351,74088,E00076414,E06000026,57409.2683015,1828.46766952895
-4.07904811344915,50.3631665158899,74089,E00076415,E06000026,61188.2269005,1066.91066492592
-4.08376119155849,50.3620536443377,74090,E00076416,E06000026,69859.56592,1906.027251226
-4.05396916092265,50.3625585161453,74091,E00076417,E06000026,287859.3899945,3000.87733887627
-4.06887294210843,50.3603239434582,74092,E00076418,E06000026,68127.792409,1575.11102577736
-4.06183136813079,50.3703274839253,74093,E00076419,E06000026,1892296.5201425,7648.68326131475
-4.0661053146761,50.3635192743434,74094,E00076420,E06000026,186547.934314,3164.60597837176
-4.06537051055702,50.3598541771215,74095,E00076421,E06000026,91635.6538815,2111.27615065135
-4.07152883287438,50.3613302425361,74096,E00076422,E06000026,64687.6622635,1808.09703651641
-4.07388647288362,50.3602055212724,74097,E00076423,E06000026,71921.924517,1756.66009344617
-4.08076541165448,50.3607669861944,74098,E00076424,E06000026,72468.90284,2212.49378212475
-4.07736492713962,50.3594244171759,74099,E00076425,E06000026,113432.23422,2361.30966340754
-4.08484058879995,50.3594691173865,74100,E00076426,E06000026,63604.1421705,1531.14565544162
-4.08081561348192,50.3582177347691,74101,E00076427,E06000026,59498.8520185,1225.55287328563
-4.07487881378936,50.357039981577,74102,E00076428,E06000026,89276.82768,1938.28477887051
-4.06376706405404,50.3581093427977,74103,E00076429,E06000026,57354.85131,1719.23306127523
-4.06612937661771,50.3566761823035,74104,E00076430,E06000026,90692.62707,1916.74248464206
